artist_id,artist_name,pull_ratio,entry_over_total_bv,total bv,quadrant
500,Dodo Marzipano,0.04323,0.434926,11404.0,"BV but no pull (Low Pull, High Entry BV)"
507,Denis De Mot,0.037375,0.349891,53547.0,"BV but no pull (Low Pull, High Entry BV)"
522,Francesco D'Adamo,0.026149,0.056881,325318.0,"BV but no pull (Low Pull, High Entry BV)"
524,Dayva Achikhman,0.039208,0.039823,47837.0,"BV but no pull (Low Pull, High Entry BV)"
528,Stamatis Papazoglou,0.051284,0.600875,10826.0,"BV but no pull (Low Pull, High Entry BV)"
533,Daniela Schweinsberg,0.033066,0.032784,51572.0,"BV but no pull (Low Pull, High Entry BV)"
536,Christiane Lohrig,0.03115,0.107883,45346.0,"BV but no pull (Low Pull, High Entry BV)"
537,Tanja Vetter,0.039529,0.085253,49089.0,"BV but no pull (Low Pull, High Entry BV)"
557,Ugo Li,0.043706,0.063149,12510.0,"BV but no pull (Low Pull, High Entry BV)"
613,Hanna Sidorowicz,0.035871,0.330584,42606.0,"BV but no pull (Low Pull, High Entry BV)"
684,Stephanie Nückel,0.044831,0.27619,1050.0,"BV but no pull (Low Pull, High Entry BV)"
689,Frédéric Belaubre,0.030291,0.55744,17135.0,"BV but no pull (Low Pull, High Entry BV)"
707,Joan Llaverias,0.021442,0.027455,395023.0,"BV but no pull (Low Pull, High Entry BV)"
716,Nick Offer,0.055689,0.031857,11928.0,"BV but no pull (Low Pull, High Entry BV)"
721,Janina Kracht,0.04539,0.013442,13986.0,"BV but no pull (Low Pull, High Entry BV)"
724,Uwe Beyer,0.031583,0.716299,6036.0,"BV but no pull (Low Pull, High Entry BV)"
731,Patrick Cornée,0.025881,0.036388,177172.0,"BV but no pull (Low Pull, High Entry BV)"
745,Christine Falk,0.021333,0.845715,9027.0,"BV but no pull (Low Pull, High Entry BV)"
779,Wieland Richter,0.043931,0.046036,27370.0,"BV but no pull (Low Pull, High Entry BV)"
785,Mocx Dabbert,0.030584,0.200933,17269.0,"BV but no pull (Low Pull, High Entry BV)"
793,Christin Lutze,0.057395,0.512983,31219.0,"BV but no pull (Low Pull, High Entry BV)"
826,Skadi Engeln,0.022994,0.009122,47598.0,"BV but no pull (Low Pull, High Entry BV)"
833,Roseline Al Oumami,0.039662,0.05164,26917.0,"BV but no pull (Low Pull, High Entry BV)"
850,Arsentij Pawlow,0.048056,0.042241,24739.0,"BV but no pull (Low Pull, High Entry BV)"
867,Catherine Ludeau,0.032078,0.008678,83570.0,"BV but no pull (Low Pull, High Entry BV)"
885,Petra Kaindel,0.038352,0.155553,70327.0,"BV but no pull (Low Pull, High Entry BV)"
898,Tarek Ben Yakhlef,0.027494,0.141321,9263.0,"BV but no pull (Low Pull, High Entry BV)"
904,Carl Chapple,0.023827,0.290975,30532.0,"BV but no pull (Low Pull, High Entry BV)"
906,Slawek Gora,0.043347,0.330189,3710.0,"BV but no pull (Low Pull, High Entry BV)"
921,Birgit Fechner,0.04847,0.234132,36581.0,"BV but no pull (Low Pull, High Entry BV)"
948,Zi Ling,0.054951,0.054727,46668.0,"BV but no pull (Low Pull, High Entry BV)"
950,Maciej Cieśla,0.05517,0.014358,137209.0,"BV but no pull (Low Pull, High Entry BV)"
971,Christian v. Grumbkow,0.039311,0.029506,61004.0,"BV but no pull (Low Pull, High Entry BV)"
984,Sergej Sologub,0.034636,0.108222,148191.0,"BV but no pull (Low Pull, High Entry BV)"
998,Jérôme Royer,0.055408,0.181393,28551.0,"BV but no pull (Low Pull, High Entry BV)"
1029,Caroline Faindt,0.045256,0.18911,10364.0,"BV but no pull (Low Pull, High Entry BV)"
1045,Debbie Lee,0.051857,1.0,4394.0,"BV but no pull (Low Pull, High Entry BV)"
1084,Catherine Redmayne,0.043853,0.588791,2940.0,"BV but no pull (Low Pull, High Entry BV)"
1096,Alice Cescatti,0.045102,0.198766,18685.0,"BV but no pull (Low Pull, High Entry BV)"
1100,Anne Iris,0.054535,0.067246,14871.0,"BV but no pull (Low Pull, High Entry BV)"
1104,Xavier García,0.043488,0.605397,188917.0,"BV but no pull (Low Pull, High Entry BV)"
1111,Max Vityk,0.048331,0.006636,43704.0,"BV but no pull (Low Pull, High Entry BV)"
1129,Solveiga,0.055045,0.143943,19452.0,"BV but no pull (Low Pull, High Entry BV)"
1136,Sylvie Hamou,0.0412,0.232147,23930.0,"BV but no pull (Low Pull, High Entry BV)"
1182,Carlos Blanco Artero,0.033752,0.136052,48077.0,"BV but no pull (Low Pull, High Entry BV)"
1188,Valeria Pesce,0.032274,0.067943,28553.0,"BV but no pull (Low Pull, High Entry BV)"
1193,Anke Gruss,0.042342,0.282889,7282.0,"BV but no pull (Low Pull, High Entry BV)"
1200,Tomasa Martín,0.043196,0.199977,62665.0,"BV but no pull (Low Pull, High Entry BV)"
1201,Juliana Do,0.043107,0.074462,88447.0,"BV but no pull (Low Pull, High Entry BV)"
1214,Susanne Wind,0.046234,0.583545,69264.0,"BV but no pull (Low Pull, High Entry BV)"
1215,Chelsea Davine,0.040507,0.086416,25495.0,"BV but no pull (Low Pull, High Entry BV)"
1221,Casey McKee,0.050444,0.047452,220179.0,"BV but no pull (Low Pull, High Entry BV)"
1226,Jesús Nieto Pantoja,0.047297,0.13025,11516.0,"BV but no pull (Low Pull, High Entry BV)"
1231,Jeff Ferst,0.044504,0.030653,37307.0,"BV but no pull (Low Pull, High Entry BV)"
1240,Jorge Nava,0.053542,0.20959,37168.0,"BV but no pull (Low Pull, High Entry BV)"
1241,Sylvia Goebel,0.041312,0.297538,27186.0,"BV but no pull (Low Pull, High Entry BV)"
1245,Erick Artik,0.047098,0.040712,155600.0,"BV but no pull (Low Pull, High Entry BV)"
1247,Eleni Pratsi,0.026775,0.142984,49031.0,"BV but no pull (Low Pull, High Entry BV)"
1272,Laurent Dorchin,0.046304,0.278395,224593.0,"BV but no pull (Low Pull, High Entry BV)"
1279,Carole Bressan,0.028994,0.130431,36648.0,"BV but no pull (Low Pull, High Entry BV)"
1282,Javiera Estrada,0.039069,0.493139,33749.0,"BV but no pull (Low Pull, High Entry BV)"
1296,Stephan Geisler,0.029242,0.104382,86499.0,"BV but no pull (Low Pull, High Entry BV)"
1298,Fintan Whelan,0.040964,0.10737,539303.0,"BV but no pull (Low Pull, High Entry BV)"
1299,Evgenia Saré,0.049377,0.0106,107736.0,"BV but no pull (Low Pull, High Entry BV)"
1301,Katja Fischer,0.050465,0.513182,17336.0,"BV but no pull (Low Pull, High Entry BV)"
1303,Olga Novokhatska,0.035204,0.099999,322129.0,"BV but no pull (Low Pull, High Entry BV)"
1325,Mauro Corvaglia,0.038524,0.01796,85971.0,"BV but no pull (Low Pull, High Entry BV)"
1326,Michaël Lefèvre,0.049334,0.022985,60692.0,"BV but no pull (Low Pull, High Entry BV)"
1336,Danny Frede,0.031586,0.094615,247743.0,"BV but no pull (Low Pull, High Entry BV)"
1357,Wietzie,0.029287,0.011148,127193.0,"BV but no pull (Low Pull, High Entry BV)"
1377,Andrea Vandoni,0.029416,0.202318,25723.0,"BV but no pull (Low Pull, High Entry BV)"
1387,Gisela Gaffoglio,0.019212,0.252023,83919.0,"BV but no pull (Low Pull, High Entry BV)"
1396,Andrea Marchesini,0.057296,1.0,2284.0,"BV but no pull (Low Pull, High Entry BV)"
1402,Isabelle Pelletane,0.035092,0.240322,13182.0,"BV but no pull (Low Pull, High Entry BV)"
1407,Hari Beierl,0.038492,0.17043,45796.0,"BV but no pull (Low Pull, High Entry BV)"
1417,Fong Fai,0.036568,0.846094,18713.0,"BV but no pull (Low Pull, High Entry BV)"
1421,James Earley,0.044983,0.158593,15155.0,"BV but no pull (Low Pull, High Entry BV)"
1424,Peter Pitout,0.032875,0.029419,45501.0,"BV but no pull (Low Pull, High Entry BV)"
1425,Jean Louis Mendrisse,0.047025,0.19031,25747.0,"BV but no pull (Low Pull, High Entry BV)"
1440,Seunghwui Koo,0.047428,0.051161,154511.0,"BV but no pull (Low Pull, High Entry BV)"
1441,Stavri Kalinov,0.042864,0.84837,3493.0,"BV but no pull (Low Pull, High Entry BV)"
1445,Pierre-Yves Beltran,0.025635,0.051302,6678.0,"BV but no pull (Low Pull, High Entry BV)"
1449,Véronique Egloff,0.028459,0.121967,24105.0,"BV but no pull (Low Pull, High Entry BV)"
1453,Giusy Lauriola,0.029617,0.232572,57527.0,"BV but no pull (Low Pull, High Entry BV)"
1455,Jon Parlangeli,0.026857,0.044884,55753.0,"BV but no pull (Low Pull, High Entry BV)"
1458,Marta Lipowska,0.02979,0.575171,18716.0,"BV but no pull (Low Pull, High Entry BV)"
1467,Carol Mcdermott,0.03261,1.0,5608.0,"BV but no pull (Low Pull, High Entry BV)"
1476,Eileen Lunecke,0.025777,0.147381,9540.0,"BV but no pull (Low Pull, High Entry BV)"
1489,Jia Yuan Hua,0.03274,0.04959,62384.0,"BV but no pull (Low Pull, High Entry BV)"
1495,Hal Mayforth,0.026081,0.085065,15358.0,"BV but no pull (Low Pull, High Entry BV)"
1503,Gina Werfel,0.037377,0.052605,16045.0,"BV but no pull (Low Pull, High Entry BV)"
1505,Dario Moschetta,0.034839,0.171381,11086.0,"BV but no pull (Low Pull, High Entry BV)"
1514,Bernard Simunovic,0.042934,0.044593,615674.0,"BV but no pull (Low Pull, High Entry BV)"
1517,Joanna Pilarczyk,0.046569,0.02891,28017.0,"BV but no pull (Low Pull, High Entry BV)"
1522,Lisa Carney,0.028779,0.046004,45254.0,"BV but no pull (Low Pull, High Entry BV)"
1541,Manuel Di Chiara,0.039083,0.026997,83063.0,"BV but no pull (Low Pull, High Entry BV)"
1544,Tomasz Paczewski,0.052405,0.297844,4063.0,"BV but no pull (Low Pull, High Entry BV)"
1546,Katherine Evans,0.038211,0.066643,183902.0,"BV but no pull (Low Pull, High Entry BV)"
1560,Vanessa Cuthbert,0.053386,0.43773,3077.0,"BV but no pull (Low Pull, High Entry BV)"
1567,Paul Chang,0.030513,0.180653,19661.0,"BV but no pull (Low Pull, High Entry BV)"
1578,Anna Masiul-Gozdecka,0.030983,0.180606,12680.0,"BV but no pull (Low Pull, High Entry BV)"
1579,Alessandro Siviglia,0.043945,0.142269,538062.0,"BV but no pull (Low Pull, High Entry BV)"
1581,Yutao Ge,0.045105,0.276918,45732.0,"BV but no pull (Low Pull, High Entry BV)"
1582,Xiaoming Ge,0.031181,0.444262,19146.0,"BV but no pull (Low Pull, High Entry BV)"
1589,Gregg Chadwick,0.048004,0.194544,7956.0,"BV but no pull (Low Pull, High Entry BV)"
1612,Agnès Mariller,0.056208,0.020961,11689.0,"BV but no pull (Low Pull, High Entry BV)"
1634,Van Hovak,0.025097,0.103631,33017.0,"BV but no pull (Low Pull, High Entry BV)"
1667,Luca Brandi,0.027096,0.231357,20874.0,"BV but no pull (Low Pull, High Entry BV)"
1671,Ludmila Budanov,0.028974,0.329421,25732.0,"BV but no pull (Low Pull, High Entry BV)"
1680,Igor Shulman,0.028789,0.120173,74920.0,"BV but no pull (Low Pull, High Entry BV)"
1682,Steven Miller,0.023875,0.407545,32600.0,"BV but no pull (Low Pull, High Entry BV)"
1690,Ellen Bradshaw,0.055165,0.308403,4265.0,"BV but no pull (Low Pull, High Entry BV)"
1697,Gian Luigi Delpin,0.028041,0.05201,60324.0,"BV but no pull (Low Pull, High Entry BV)"
1705,Catherine Sénéchal,0.038892,0.046651,37213.0,"BV but no pull (Low Pull, High Entry BV)"
1719,Thomas Peter Kausel,0.012306,0.058875,50700.0,"BV but no pull (Low Pull, High Entry BV)"
1753,Tanja Hirschfeld,0.043028,0.417946,28472.0,"BV but no pull (Low Pull, High Entry BV)"
1809,Laurent Bergues,0.042693,0.022477,13792.0,"BV but no pull (Low Pull, High Entry BV)"
1871,Gastone Cecconello,0.045756,0.74184,3370.0,"BV but no pull (Low Pull, High Entry BV)"
1889,Bea Schubert,0.025784,0.080312,86001.0,"BV but no pull (Low Pull, High Entry BV)"
1893,Aude De Voc,0.051005,0.047214,53650.0,"BV but no pull (Low Pull, High Entry BV)"
1917,Matthias Oppermann,0.025145,0.0231,21855.0,"BV but no pull (Low Pull, High Entry BV)"
1919,Koen Lybaert,0.019265,0.07303,356195.0,"BV but no pull (Low Pull, High Entry BV)"
1923,Kobransky,0.04406,0.074862,154284.0,"BV but no pull (Low Pull, High Entry BV)"
1953,María Burgaz,0.023013,0.063911,136382.0,"BV but no pull (Low Pull, High Entry BV)"
1959,Harald Wolff,0.049549,0.074296,7672.0,"BV but no pull (Low Pull, High Entry BV)"
1965,Fahar Al Salih,0.057563,0.036901,37940.0,"BV but no pull (Low Pull, High Entry BV)"
1973,Kristin Kossi,0.027838,0.066491,684939.0,"BV but no pull (Low Pull, High Entry BV)"
1993,Nina Boos,0.044672,0.15567,5460.0,"BV but no pull (Low Pull, High Entry BV)"
2001,David Tycho,0.021054,0.020732,59811.0,"BV but no pull (Low Pull, High Entry BV)"
2009,Natalia Rozmus - Esparza,0.03688,0.675752,9701.0,"BV but no pull (Low Pull, High Entry BV)"
2017,Dominic Virtosu,0.028505,0.101208,27517.0,"BV but no pull (Low Pull, High Entry BV)"
2029,Paresh Nrshinga,0.025289,0.028486,93568.0,"BV but no pull (Low Pull, High Entry BV)"
2039,Francesco Polazzi,0.056474,0.234059,5772.0,"BV but no pull (Low Pull, High Entry BV)"
2043,Fernando Jaramillo,0.048941,0.080607,79914.0,"BV but no pull (Low Pull, High Entry BV)"
2045,Jacquie Gouveia,0.057534,0.748188,3137.0,"BV but no pull (Low Pull, High Entry BV)"
2053,Eric Sher,0.057569,1.0,1425.0,"BV but no pull (Low Pull, High Entry BV)"
2065,Carla Sá Fernandes,0.026991,0.009236,95276.0,"BV but no pull (Low Pull, High Entry BV)"
2081,Joëlle Kem Lika,0.018187,0.05183,30523.0,"BV but no pull (Low Pull, High Entry BV)"
2095,Gabriela Lavezzari,0.037728,0.074588,182615.0,"BV but no pull (Low Pull, High Entry BV)"
2099,Ta Byrne,0.026859,0.089312,844551.0,"BV but no pull (Low Pull, High Entry BV)"
2105,Ilya Volykhine,0.057212,0.008664,49449.0,"BV but no pull (Low Pull, High Entry BV)"
2115,Yuliya Martynova,0.025462,0.428682,22147.0,"BV but no pull (Low Pull, High Entry BV)"
2131,Seung Yoon Choi,0.03835,0.212421,123366.0,"BV but no pull (Low Pull, High Entry BV)"
2135,Eusebio López,0.040603,0.222255,29763.0,"BV but no pull (Low Pull, High Entry BV)"
2145,Liza Wheeler,0.031216,0.08189,5726.0,"BV but no pull (Low Pull, High Entry BV)"
2165,Sandrine Langlade,0.040128,0.058017,4826.0,"BV but no pull (Low Pull, High Entry BV)"
2173,Dinah Wakefield,0.023173,0.184381,110758.0,"BV but no pull (Low Pull, High Entry BV)"
2175,Annabel Andrews,0.039126,0.190844,11651.0,"BV but no pull (Low Pull, High Entry BV)"
2179,Bazévian Delacapucinière,0.034342,0.288751,13853.0,"BV but no pull (Low Pull, High Entry BV)"
2195,Paul Solovyev,0.048418,1.0,590.0,"BV but no pull (Low Pull, High Entry BV)"
2197,Sandy Dooley,0.038913,0.139377,64706.0,"BV but no pull (Low Pull, High Entry BV)"
2201,Mo Tuncay,0.051653,0.07408,20788.0,"BV but no pull (Low Pull, High Entry BV)"
2205,Ovidiu Kloska,0.025072,0.122913,31872.0,"BV but no pull (Low Pull, High Entry BV)"
2213,Aparicio Kozuch,0.051075,0.47723,1735.0,"BV but no pull (Low Pull, High Entry BV)"
2225,Filiberto Montesinos Castañón,0.031139,0.104768,27703.0,"BV but no pull (Low Pull, High Entry BV)"
2231,Kaixuan Feng,0.051955,0.067061,69127.0,"BV but no pull (Low Pull, High Entry BV)"
2235,Carola E. Thiele,0.033085,0.381566,23162.0,"BV but no pull (Low Pull, High Entry BV)"
2257,Matthias Lupri,0.028048,0.059768,349938.0,"BV but no pull (Low Pull, High Entry BV)"
2259,Karin Vermeer,0.029673,0.189096,349320.0,"BV but no pull (Low Pull, High Entry BV)"
2277,Edith Torony,0.035169,0.00612,65044.0,"BV but no pull (Low Pull, High Entry BV)"
2281,Stephanie Ho,0.024231,0.19368,60180.0,"BV but no pull (Low Pull, High Entry BV)"
2287,Vincent Verdeguer,0.036875,0.126956,2757.0,"BV but no pull (Low Pull, High Entry BV)"
2291,Frédéric Halbreich,0.038229,0.105664,45793.0,"BV but no pull (Low Pull, High Entry BV)"
2303,Sophie Duplain,0.030411,0.038712,163158.0,"BV but no pull (Low Pull, High Entry BV)"
2311,Pascale White,0.032402,0.080139,6489.0,"BV but no pull (Low Pull, High Entry BV)"
2315,Xiaoyang Galas,0.025149,0.222469,56770.0,"BV but no pull (Low Pull, High Entry BV)"
2327,Lidiya Kwaschny,0.041863,0.168116,15593.0,"BV but no pull (Low Pull, High Entry BV)"
2339,Cécile Guth,0.041534,0.108211,22253.0,"BV but no pull (Low Pull, High Entry BV)"
2377,Ford Smith,0.045858,0.237709,87977.0,"BV but no pull (Low Pull, High Entry BV)"
2393,Irene Guerriero,0.051149,0.061713,17824.0,"BV but no pull (Low Pull, High Entry BV)"
2399,Ingrid Knaus,0.022796,0.33298,14656.0,"BV but no pull (Low Pull, High Entry BV)"
2403,Heather Blanton,0.037958,0.248377,12515.0,"BV but no pull (Low Pull, High Entry BV)"
2417,Kimberley Bruce,0.057811,0.054484,9361.0,"BV but no pull (Low Pull, High Entry BV)"
2419,Simone Kocher,0.045329,0.016967,16233.0,"BV but no pull (Low Pull, High Entry BV)"
2429,Astrid Stoeppel,0.020503,0.264439,193702.0,"BV but no pull (Low Pull, High Entry BV)"
2461,Irena Orlov,0.047114,0.0792,77956.0,"BV but no pull (Low Pull, High Entry BV)"
2479,Lana Frey,0.033509,0.163212,137233.0,"BV but no pull (Low Pull, High Entry BV)"
2481,Mam,0.038602,0.104098,125834.0,"BV but no pull (Low Pull, High Entry BV)"
2493,Peter Nottrott,0.0178,0.084322,1047578.0,"BV but no pull (Low Pull, High Entry BV)"
2525,Lara Broecke,0.046744,0.1661,23749.0,"BV but no pull (Low Pull, High Entry BV)"
2533,Kotaro Machiyama,0.040914,0.070642,63873.0,"BV but no pull (Low Pull, High Entry BV)"
2537,Roger König,0.031241,0.017337,66034.0,"BV but no pull (Low Pull, High Entry BV)"
2539,Serguei Zlenko,0.041225,0.055304,37611.0,"BV but no pull (Low Pull, High Entry BV)"
2543,Aykaz Arzumanyan,0.043844,0.05492,75294.0,"BV but no pull (Low Pull, High Entry BV)"
2557,Fredi Gertsch,0.028377,0.226042,85886.0,"BV but no pull (Low Pull, High Entry BV)"
2561,Caroline Vis,0.045291,0.050915,115793.0,"BV but no pull (Low Pull, High Entry BV)"
2563,Ines Klich,0.050084,0.056576,44461.0,"BV but no pull (Low Pull, High Entry BV)"
2579,Model Rice,0.041244,0.018726,20292.0,"BV but no pull (Low Pull, High Entry BV)"
2585,Hildegarde Handsaeme,0.057166,0.02387,14244.0,"BV but no pull (Low Pull, High Entry BV)"
2605,Dake Wong,0.05685,0.124809,33037.0,"BV but no pull (Low Pull, High Entry BV)"
2607,Dinara Omarova,0.042679,0.086792,7726.0,"BV but no pull (Low Pull, High Entry BV)"
2613,Christian Bahr,0.035681,0.037442,29219.0,"BV but no pull (Low Pull, High Entry BV)"
2615,Carmen Tyrrell,0.048905,0.300028,9866.0,"BV but no pull (Low Pull, High Entry BV)"
2617,Linnea Heide,0.034986,0.123971,27638.0,"BV but no pull (Low Pull, High Entry BV)"
2627,Carlos Martin,0.041754,0.160674,199133.0,"BV but no pull (Low Pull, High Entry BV)"
2651,Krisztina Horvath,0.04786,0.156468,50860.0,"BV but no pull (Low Pull, High Entry BV)"
2653,Arno Bruse,0.03945,0.087152,221714.0,"BV but no pull (Low Pull, High Entry BV)"
2657,Miriam Montenegro,0.057165,0.090274,15952.0,"BV but no pull (Low Pull, High Entry BV)"
2665,Thomas Pourcelot Wonsungee,0.046344,0.092711,6850.0,"BV but no pull (Low Pull, High Entry BV)"
2695,Irene Hoff,0.054161,0.487869,30950.0,"BV but no pull (Low Pull, High Entry BV)"
2723,Sumit Mehndiratta,0.018977,0.263306,21137.0,"BV but no pull (Low Pull, High Entry BV)"
2729,Julia Blackshaw,0.045218,0.346951,3502.0,"BV but no pull (Low Pull, High Entry BV)"
2731,Miroslava Lipovec Friedman,0.01644,0.04236,84750.0,"BV but no pull (Low Pull, High Entry BV)"
2739,Muriel Napoli,0.017414,0.214457,42839.0,"BV but no pull (Low Pull, High Entry BV)"
2747,Zhanna Kondratenko,0.02127,0.018857,88305.0,"BV but no pull (Low Pull, High Entry BV)"
2759,Jean Mirre,0.009955,0.081394,59163.0,"BV but no pull (Low Pull, High Entry BV)"
2769,Brian Nash,0.018735,0.17534,105049.0,"BV but no pull (Low Pull, High Entry BV)"
2775,Eduard Belsky,0.037659,0.286962,11751.0,"BV but no pull (Low Pull, High Entry BV)"
2819,Nguyen Xuan Khanh,0.055906,0.241659,57103.0,"BV but no pull (Low Pull, High Entry BV)"
2831,Simonida Djordjevic,0.025546,0.124649,30328.0,"BV but no pull (Low Pull, High Entry BV)"
2853,Eduardo Vega De Seoane,0.048356,0.533764,17798.0,"BV but no pull (Low Pull, High Entry BV)"
2863,Sarah Inhoffen,0.046067,0.113648,61154.0,"BV but no pull (Low Pull, High Entry BV)"
2881,Jonathan Mcafee,0.035644,0.041111,18655.0,"BV but no pull (Low Pull, High Entry BV)"
2887,Marta Grassi,0.047675,0.480417,3039.0,"BV but no pull (Low Pull, High Entry BV)"
2889,Shirin Donia,0.038795,0.025312,103250.0,"BV but no pull (Low Pull, High Entry BV)"
2919,Stanko Ropić,0.055098,0.192419,16007.0,"BV but no pull (Low Pull, High Entry BV)"
2923,Antony Squizzato,0.042249,0.263756,13535.0,"BV but no pull (Low Pull, High Entry BV)"
2925,Andrei Engelman,0.043915,0.12128,4872.0,"BV but no pull (Low Pull, High Entry BV)"
2933,Anastasiya Valiulina,0.021318,0.156553,155141.0,"BV but no pull (Low Pull, High Entry BV)"
2953,Doris Duschelbauer,0.044725,0.045521,12082.0,"BV but no pull (Low Pull, High Entry BV)"
2957,Benno Noll,0.033294,0.053688,11176.0,"BV but no pull (Low Pull, High Entry BV)"
2959,Jauss & Gauger,0.054509,0.023025,11553.0,"BV but no pull (Low Pull, High Entry BV)"
2989,Pascal Giroud,0.03083,0.180609,19146.0,"BV but no pull (Low Pull, High Entry BV)"
3001,Hinrich JW Schüler,0.040278,0.399892,8002.0,"BV but no pull (Low Pull, High Entry BV)"
3011,POOVI ART,0.027971,0.065718,27675.0,"BV but no pull (Low Pull, High Entry BV)"
3017,Sangie,0.052146,0.099631,5420.0,"BV but no pull (Low Pull, High Entry BV)"
3043,Donatella Marraoni,0.017136,0.215428,119711.0,"BV but no pull (Low Pull, High Entry BV)"
3053,Fernando Arribillaga Martínez,0.054608,0.016701,32632.0,"BV but no pull (Low Pull, High Entry BV)"
3061,Stanislav Sidorov,0.033918,0.217842,168438.0,"BV but no pull (Low Pull, High Entry BV)"
3063,Yelena Sidorova,0.050174,0.098868,31329.0,"BV but no pull (Low Pull, High Entry BV)"
3075,Tomas Hammar,0.048618,0.283085,10429.0,"BV but no pull (Low Pull, High Entry BV)"
3095,Jacques Majos,0.0306,0.014369,68203.0,"BV but no pull (Low Pull, High Entry BV)"
3107,Carlo Salomoni,0.020305,0.158594,41745.0,"BV but no pull (Low Pull, High Entry BV)"
3113,Wayne Sleeth,0.043531,0.09221,26969.0,"BV but no pull (Low Pull, High Entry BV)"
3115,Hyunju Kim,0.039073,0.038364,21388.0,"BV but no pull (Low Pull, High Entry BV)"
3135,Hennie Van De Lande,0.024496,0.04141,116639.0,"BV but no pull (Low Pull, High Entry BV)"
3137,Auke Mulder,0.014176,0.14575,30257.0,"BV but no pull (Low Pull, High Entry BV)"
3141,Peter Vahlefeld,0.031911,0.188576,229713.0,"BV but no pull (Low Pull, High Entry BV)"
3143,Pol Ledent,0.01766,0.146693,445845.0,"BV but no pull (Low Pull, High Entry BV)"
3145,Kelly Allison,0.052531,0.038497,19482.0,"BV but no pull (Low Pull, High Entry BV)"
3149,Eric Bruni,0.028215,0.14629,174294.0,"BV but no pull (Low Pull, High Entry BV)"
3165,Norris Yim,0.056498,0.571322,17143.0,"BV but no pull (Low Pull, High Entry BV)"
3167,Sniege,0.044467,0.058412,410386.0,"BV but no pull (Low Pull, High Entry BV)"
3171,Antonello Messina,0.055792,0.034678,11535.0,"BV but no pull (Low Pull, High Entry BV)"
3207,Isabel Mahe,0.023222,0.004448,97353.0,"BV but no pull (Low Pull, High Entry BV)"
3209,Alexandre Barbera-Ivanoff,0.03605,0.152284,32833.0,"BV but no pull (Low Pull, High Entry BV)"
3233,Chin H Shin,0.037625,0.05573,43962.0,"BV but no pull (Low Pull, High Entry BV)"
3239,Chantal Longeon,0.027743,0.042924,41679.0,"BV but no pull (Low Pull, High Entry BV)"
